indicatorId,geoUnit,year,type,subtype,value
CR.MOD.1.F,AZE,2012,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AZE,2013,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AZE,2014,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AZE,2015,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AZE,2016,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AZE,2017,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AZE,2018,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AZE,2019,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AZE,2020,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AZE,2021,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AZE,2022,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AZE,2023,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AZE,2024,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2000,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2001,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2002,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2003,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2004,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2005,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2006,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2007,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2008,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2009,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2010,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2011,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2012,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2013,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2014,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2015,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2016,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2017,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2018,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2019,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2020,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2021,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2022,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2023,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BDI,2024,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2000,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2001,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2002,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2003,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2004,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2005,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2006,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2007,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2008,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2009,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2010,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2011,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2012,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2013,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2014,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2015,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2016,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2017,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2018,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2019,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2020,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2021,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2022,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2023,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEL,2024,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2000,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2001,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2002,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2003,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2004,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2005,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2006,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2007,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2008,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2009,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2010,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2011,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2012,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2013,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2014,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2015,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2016,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2017,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2018,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2019,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2020,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2021,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2022,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2023,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BEN,2024,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2000,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2001,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2002,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2003,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2004,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2005,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2006,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2007,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2008,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2009,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2010,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2011,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2012,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2013,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2014,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2015,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2016,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2017,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2018,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2019,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2020,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2021,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2022,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2023,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BFA,2024,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2000,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2001,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2002,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2003,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2004,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2005,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2006,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2007,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,BGD,2008,Source,Data sources,GEMR modelled data; 17 February 2025
